,ID,acreage,so_PN,so_WC,price,frontage,area,city
0,269453,37.0,3.097070692644337,2.9854199389160296,165354402.83555272,1,Bắc Từ Liêm,Hà Nội
1,269452,20.0,2.942311671968294,2.8473233215798297,165354402.83552825,0,Bắc Từ Liêm,Hà Nội
2,269451,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
3,269450,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
4,269449,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Nam Từ Liêm,Hà Nội
5,269448,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
6,269447,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Nam Từ Liêm,Hà Nội
7,269445,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,1,Nam Từ Liêm,Hà Nội
8,269444,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Nam Từ Liêm,Hà Nội
9,269442,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Nam Từ Liêm,Hà Nội
10,269441,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Nam Từ Liêm,Hà Nội
11,269440,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,1,Nam Từ Liêm,Hà Nội
12,269439,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Hà Đông,Hà Nội
13,269438,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Hoài Đức,Hà Nội
14,269437,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Hà Đông,Hà Nội
15,269436,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Hà Đông,Hà Nội
16,269435,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Sóc Sơn,Hà Nội
17,269434,68.33413331549879,1.6529251581998228,1.0,165354402.83559772,0,Hà Đông,Hà Nội
18,269433,58.785495469999624,2.0,2.0,3.95,0,Tân Bình,TP Hồ Chí Minh
19,269432,54.53440219124311,1.0,1.0,2.15,0,Tân Bình,TP Hồ Chí Minh
20,269431,52.0,3.2336227697114337,3.1072698953891464,165354402.83557433,0,Hà Đông,Hà Nội
